,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,Event_name,Address,Event_type,Weight_Event_Type,Organizer,Respondents,Distance,DATEUTC,LC_HUMIDITY,LC_DWPTEMP,LC_WINDSPEED,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Weight_respondent,Event_Score_x,Total_Event_Score
1631,1631,2022-02-11 21:40:00,49.89691666666667,48.17391666666666,57.551575,69.30065833333333,2022-02-11 13:40:00,2.666666666666666,11-02-2022,,,,,,,,2022-02-11 21:40:00,94.21739130434784,-0.9523913043478262,0.0017934782608695,Friday,0,1,7.111111111111108,18.96296296296295,,0.0,0.0
1632,1632,2022-02-11 22:00:00,49.9155,48.388666666666666,57.786725,69.32200833333333,2022-02-11 14:00:00,3.0,11-02-2022,,,,,,,,2022-02-11 22:00:00,94.5464480874317,-1.0479234972677596,0.0071584699453551,Friday,0,1,9.0,27.0,,0.0,0.0
1633,1633,2022-02-11 22:20:00,50.587833333333336,49.065916666666666,58.68510833333334,70.39750833333333,2022-02-11 14:20:00,3.333333333333334,11-02-2022,,,,,,,,2022-02-11 22:20:00,94.86559139784946,-1.1778494623655915,0.0061290322580645,Friday,0,1,11.111111111111114,37.03703703703706,,0.0,0.0
1634,1634,2022-02-11 22:40:00,52.90075,51.33508333333333,60.51820833333334,72.25459166666666,2022-02-11 14:40:00,3.666666666666666,11-02-2022,,,,,,,,2022-02-11 22:40:00,95.15591397849462,-1.30994623655914,0.0195698924731182,Friday,0,1,13.44444444444444,49.29629629629627,,0.0,0.0
1635,1635,2022-02-11 23:00:00,52.37625,50.41166666666667,58.04544166666667,70.27003333333333,2022-02-11 15:00:00,4.0,11-02-2022,,,,,,,,2022-02-11 23:00:00,95.33152173913044,-1.4005978260869565,0.0230978260869565,Friday,0,1,16.0,64.0,,0.0,0.0
1636,1636,2022-02-11 23:20:00,46.461083333333335,44.71666666666667,54.3677,66.29051666666666,2022-02-11 15:20:00,4.333333333333334,11-02-2022,,,,,,,,2022-02-11 23:20:00,95.54301075268818,-1.4974193548387096,0.0196774193548387,Friday,0,1,18.777777777777782,81.37037037037041,,0.0,0.0
1637,1637,2022-02-11 23:40:00,49.38825,47.51858333333334,56.04968333333333,67.967625,2022-02-11 15:40:00,4.666666666666666,11-02-2022,,,,,,,,2022-02-11 23:40:00,95.63387978142076,-1.509726775956284,0.0062841530054644,Friday,0,1,21.77777777777777,101.62962962962959,,0.0,0.0
1638,1638,2022-02-12 00:00:00,49.1745,47.32041666666667,55.96743333333333,67.992025,2022-02-11 16:00:00,5.0,11-02-2022,,,,,,,,2022-02-12 00:00:00,95.72432432432431,-1.5681081081081083,0.0003783783783783,Friday,0,1,25.0,125.0,,0.0,0.0
1639,1639,2022-02-12 00:20:00,47.17933333333333,45.36258333333333,53.90093333333333,65.68849999999999,2022-02-11 16:20:00,5.333333333333332,11-02-2022,,,,,,,,2022-02-12 00:20:00,95.7741935483871,-1.6983870967741934,0.0001075268817204,Friday,0,1,28.444444444444432,151.7037037037036,,0.0,0.0
1640,1640,2022-02-12 00:40:00,44.93708333333333,43.44241666666667,53.11291666666666,64.65388333333334,2022-02-11 16:40:00,5.666666666666668,11-02-2022,,,,,,,,2022-02-12 00:40:00,95.91935483870968,-1.812903225806452,0.0006989247311827,Friday,0,1,32.11111111111112,181.96296296296308,,0.0,0.0
1641,1641,2022-02-12 01:00:00,39.73325,38.6955,51.672291666666666,62.78805833333333,2022-02-11 17:00:00,6.0,11-02-2022,,,,,,,,2022-02-12 01:00:00,96.01639344262296,-1.923551912568306,0.0007103825136612,Friday,0,1,36.0,216.0,,0.0,0.0
1642,1642,2022-02-12 01:20:00,38.48075,37.35508333333333,50.97005,61.85000833333333,2022-02-11 17:20:00,6.333333333333332,11-02-2022,,,,,,,,2022-02-12 01:20:00,96.0054347826087,-1.9667391304347823,0.0009782608695652,Friday,0,1,40.11111111111109,254.0370370370369,,0.0,0.0
1643,1643,2022-02-12 01:40:00,38.66066666666667,37.243,49.77986666666666,61.08141666666666,2022-02-11 17:40:00,6.666666666666668,11-02-2022,,,,,,,,2022-02-12 01:40:00,96.02762430939228,-1.997900552486188,0.003646408839779,Friday,0,1,44.44444444444446,296.2962962962965,,0.0,0.0
1644,1644,2022-02-12 02:00:00,39.93958333333333,38.43008333333333,50.657,62.00501666666667,2022-02-11 18:00:00,7.0,11-02-2022,,,,,,,,2022-02-12 02:00:00,96.0327868852459,-2.055573770491804,0.0008196721311475,Friday,0,1,49.0,343.0,,0.0,0.0
