Name,Address,Date,Location,Organizer,Event type
Marco Torrice - Melting Pot / Rrita Jashari / Thomas Turine • Studio STUK closing night,"Naamsestraat 96, 3000 Leuven",za 12 nov 2022 19:30,Manhattan,Stuk,Other
HARQUITECTES,"Naamsestraat 96, 3000 Leuven",wo 16 nov 2022 20:00,College De Valk Aula Zeger Van Hee,Stuk,Other
Performance: métier of amateurkunst? Een spel met de codes van het theater en het museum,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 16:30 - 18:00,M Forum,Stuk,Other
I become them,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.D-1.E,Stuk,Other
Glowachrome Garden,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Platform,Stuk,Other
"Echo’s Bones/Were Turned to Stone, 2020","Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 0.G,Stuk,Other
Let your body do all the talking #1,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Lobby,Stuk,Other
Forme(s) de vie,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.A,Stuk,Other
"The Hand, the Eye and It, 2013","Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.C,Stuk,Other
"Each Moment Presents What Happens, 2021","Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Forum,Stuk,Other
Playground 2022,"Naamsestraat 96, 3000 Leuven","do 17 nov 2022 18:00
                                                                                            - zo 20 nov 2022
                                                 18:00",M Leuven,Stuk,Other
Mariachi 17,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.F,Stuk,Other
Time is doing.,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:30 - 19:40,M Lobby en zaal 0.A,Stuk,Other
"LaBOLA, 2020","Naamsestraat 96, 3000 Leuven",vr 18 nov 2022 14:00 - 15:00,M Zaal 1.F,Stuk,Other
Venus Parade,"Naamsestraat 96, 3000 Leuven",za 19 nov 2022 11:30 - 12:30,M Leuven,Stuk,Other
PRTXT.,"Naamsestraat 96, 3000 Leuven",za 19 nov 2022 13:00 - 20:00,M Zaal 2.A,Stuk,Other
William Basinski / Jessica Moss • 30CC/Schouwburg,"Naamsestraat 96, 3000 Leuven",di 22 nov 2022 20:00,30CC/Schouwburg,Stuk,Other
PAM: LET’S TALK ABOUT AUDIOVISUAL ARTS,"Naamsestraat 96, 3000 Leuven",wo 23 nov 2022 13:00,ARGOS,Stuk,Other
Scattered Memories on a slice of future,"Naamsestraat 96, 3000 Leuven",ma 28 nov 2022 20:00,30CC/Schouwburg,Stuk,Other
Works in Silence by Lucinda Childs,"Naamsestraat 96, 3000 Leuven",vr 16 dec 2022 20:30,30CC/Schouwburg,Stuk,Other
Please (don’t) let me be (mis)understood — uitgesteld,"Naamsestraat 96, 3000 Leuven",wo 11 jan 2023 20:30,STUK Soetezaal,Stuk,Other
"De Goldbergvariaties,  BWV988","Naamsestraat 96, 3000 Leuven",do 12 jan 2023 20:00,30CC/Schouwburg,Stuk,Other
In Other Words — uitgesteld,"Naamsestraat 96, 3000 Leuven",do 2 feb 2023 20:30,STUK Soetezaal,Stuk,Other
any attempt will end in crushed bodies and shattered bones,"Naamsestraat 96, 3000 Leuven",di 7 feb 2023 20:00,30CC/Schouwburg,Stuk,Other
Symphonia Harmoniæ Cælestium Revelationum — uitgesteld,"Naamsestraat 96, 3000 Leuven",do 9 feb 2023 20:00,STUK Soetezaal,Stuk,Other
AgwA,"Naamsestraat 96, 3000 Leuven",wo 15 feb 2023 20:00,College De Valk Aula DV1 02.56,Stuk,Other
"'Extase, kunst en psychische kwetsbaarheid ' (Lessen voor de 21ste eeuw)","Naamsestraat 96, 3000 Leuven","ma 20 feb 2023 19:30
                                                                                            - zo 25 jun 2023",Aula Pieter de Somer,Stuk,Other
Stations,"Naamsestraat 96, 3000 Leuven",di 7 mrt 2023 20:00,30CC/Schouwburg,Stuk,Other
Samantha Hardingham,"Naamsestraat 96, 3000 Leuven",wo 8 mrt 2023 20:00,College De Valk Aula Zeger Van Hee,Stuk,Other
Leuven Jazz Op Zondag: Hanne De Backer & g a b b r o - As We Walk,"Naamsestraat 96, 3000 Leuven",zo 12 mrt 2023 20:00,Manhattan,Stuk,Other
Human Instruction Manual,"Naamsestraat 96, 3000 Leuven",wo 15 mrt 2023 20:30,Manhattan,Stuk,Other
UUR KULTUUR XL,"Naamsestraat 96, 3000 Leuven",do 16 mrt 2023 19:00,Manhattan,Stuk,Other
Frankie - L.I.A.R.,"Naamsestraat 96, 3000 Leuven",vr 17 mrt 2023 21:30,Manhattan,Stuk,Other
"LIKE SNAKES, THE ROOTS OF TREES, COIL THEMSELVES FROM ROCK AND SAND","Naamsestraat 96, 3000 Leuven","wo 22 mrt 2023 18:00
                                                                                            - wo 17 mei 2023
                                                 22:00",Manhattan,Stuk,Other
Elise Eeraerts & Roberto Aparicio Ronda,"Naamsestraat 96, 3000 Leuven",wo 22 mrt 2023 19:00,Manhattan,Stuk,Other
