Name,Address,Date,Location,Organizer,Event type,Day,DateTime,Responded
Jonas Bang - Dream Diver • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 1 nov 2022 20:00 - zo 6 nov 2022 23:00,Manhattan,Stuk,Other,1-nov,20:00,1000.0
Another Sacre • Studio STUK,"Naamsestraat 96, 3000 Leuven",di 1 nov 2022 20:30,Manhattan,Stuk,Other,1-nov,20:30,1000.0
Oona Libens - Spindle • Studio STUK,"Naamsestraat 96, 3000 Leuven",do 3 nov 2022 19:30,Manhattan,Stuk,Other,3-nov,19:30,1000.0
Niet vallen • Studio STUK,"Naamsestraat 96, 3000 Leuven",za 5 nov 2022 11:00,Manhattan,Stuk,Other,5-nov,11:00,1000.0
Christina Vantzou & ensemble - N°5 (album release) / EC Band • Studio STUK,"Naamsestraat 96, 3000 Leuven",wo 9 nov 2022 19:30,Manhattan,Stuk,Other,9-nov,19:30,1000.0
Evan Ifekoya - Undercurrent 528 • Studio STUK,"Naamsestraat 96, 3000 Leuven",wo 9 nov 2022 20:00 - za 12 nov 2022 23:00,Manhattan,Stuk,Other,9-nov,20:00,1000.0
Marco Torrice - Melting Pot / Rrita Jashari / Thomas Turine • Studio STUK closing night,"Naamsestraat 96, 3000 Leuven",za 12 nov 2022 19:30,Manhattan,Stuk,Other,12-nov,19:30,1000.0
HARQUITECTES,"Naamsestraat 96, 3000 Leuven",wo 16 nov 2022 20:00,College De Valk Aula Zeger Van Hee,Stuk,Other,16-nov,20:00,100.0
Performance: métier of amateurkunst? Een spel met de codes van het theater en het museum,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 16:30 - 18:00,M Forum,Stuk,Other,17-nov,16:30,
I become them,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.D-1.E,Stuk,Other,17-nov,18:00,
Glowachrome Garden,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Platform,Stuk,Other,17-nov,18:00,
"Echo’s Bones/Were Turned to Stone, 2020","Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 0.G,Stuk,Other,17-nov,18:00,
Let your body do all the talking #1,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Lobby,Stuk,Other,17-nov,18:00,
Forme(s) de vie,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.A,Stuk,Other,17-nov,18:00,
"The Hand, the Eye and It, 2013","Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.C,Stuk,Other,17-nov,18:00,
"Each Moment Presents What Happens, 2021","Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Forum,Stuk,Other,17-nov,18:00,
Playground 2022,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - zo 20 nov 2022 18:00,M Leuven,Stuk,Other,17-nov,18:00,
Mariachi 17,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:00 - 22:00,M Zaal 1.F,Stuk,Other,17-nov,18:00,
Time is doing.,"Naamsestraat 96, 3000 Leuven",do 17 nov 2022 18:30 - 19:40,M Lobby en zaal 0.A,Stuk,Other,17-nov,18:30,
"LaBOLA, 2020","Naamsestraat 96, 3000 Leuven",vr 18 nov 2022 14:00 - 15:00,M Zaal 1.F,Stuk,Other,18-nov,14:00,
Venus Parade,"Naamsestraat 96, 3000 Leuven",za 19 nov 2022 11:30 - 12:30,M Leuven,Stuk,Other,19-nov,11:30,
PRTXT.,"Naamsestraat 96, 3000 Leuven",za 19 nov 2022 13:00 - 20:00,M Zaal 2.A,Stuk,Other,19-nov,13:00,
William Basinski / Jessica Moss • 30CC/Schouwburg,"Naamsestraat 96, 3000 Leuven",di 22 nov 2022 20:00,30CC/Schouwburg,Stuk,Other,22-nov,20:00,500.0
PAM: LET’S TALK ABOUT AUDIOVISUAL ARTS,"Naamsestraat 96, 3000 Leuven",wo 23 nov 2022 13:00,ARGOS,Stuk,Other,23-nov,13:00,
Scattered Memories on a slice of future,"Naamsestraat 96, 3000 Leuven",ma 28 nov 2022 20:00,30CC/Schouwburg,Stuk,Other,28-nov,20:00,500.0
Works in Silence by Lucinda Childs,"Naamsestraat 96, 3000 Leuven",vr 16 dec 2022 20:30,30CC/Schouwburg,Stuk,Other,16-dec,20:30,500.0
