,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,night,weekday,Holiday,downseason
4901,2022-03-10 01:40:00,46.62325,44.412083333333335,52.54805833333333,64.71315,2022-03-09 17:40:00,6.666666666666668,09-03-2022,Wednesday,0,0
4902,2022-03-10 02:00:00,51.113499999999995,48.05866666666667,53.54815833333333,66.70933333333333,2022-03-09 18:00:00,7.0,09-03-2022,Wednesday,0,0
4903,2022-03-10 02:20:00,44.928333333333335,42.723,50.48908333333333,62.91081666666666,2022-03-09 18:20:00,7.333333333333332,09-03-2022,Wednesday,0,0
4904,2022-03-10 02:40:00,42.358,40.542750000000005,49.359,61.636808333333335,2022-03-09 18:40:00,7.666666666666668,09-03-2022,Wednesday,0,0
4905,2022-03-10 03:00:00,43.001333333333335,40.98833333333334,49.73715833333333,61.80219166666667,2022-03-09 19:00:00,8.0,09-03-2022,Wednesday,0,0
4906,2022-03-10 03:20:00,43.712833333333336,41.5405,49.55351666666667,62.019000000000005,2022-03-09 19:20:00,8.333333333333332,09-03-2022,Wednesday,0,0
4907,2022-03-10 03:40:00,44.393,42.16575,49.838425,62.341125000000005,2022-03-09 19:40:00,8.666666666666668,09-03-2022,Wednesday,0,0
4908,2022-03-10 04:00:00,43.25975,41.11025,49.34370833333333,61.65439166666667,2022-03-09 20:00:00,9.0,09-03-2022,Wednesday,0,0
4909,2022-03-10 04:20:00,43.96191666666667,41.85583333333334,50.27794166666666,62.61521666666666,2022-03-09 20:20:00,9.333333333333332,09-03-2022,Wednesday,0,0
4910,2022-03-10 04:40:00,43.4615,41.644083333333334,51.50759166666667,63.219275,2022-03-09 20:40:00,9.666666666666668,09-03-2022,Wednesday,0,0
4911,2022-03-10 05:00:00,43.46325,41.703916666666665,51.85301666666667,63.612991666666666,2022-03-09 21:00:00,10.0,09-03-2022,Wednesday,0,0
4912,2022-03-10 05:20:00,45.13258333333333,43.40358333333334,53.71183333333333,65.28586666666666,2022-03-09 21:20:00,10.333333333333332,09-03-2022,Wednesday,0,0
4913,2022-03-10 05:40:00,42.969833333333334,41.953250000000004,53.84095,64.86211666666667,2022-03-09 21:40:00,10.666666666666668,09-03-2022,Wednesday,0,0
4914,2022-03-10 06:00:00,48.5905,47.36233333333334,59.224916666666665,70.33267500000001,2022-03-09 22:00:00,11.0,09-03-2022,Wednesday,0,0
4915,2022-03-10 06:20:00,50.613499999999995,48.73716666666667,59.20292499999999,70.775875,2022-03-09 22:20:00,11.333333333333332,09-03-2022,Wednesday,0,0
4916,2022-03-10 06:40:00,56.70966666666667,55.34225,65.57783333333333,76.70399166666667,2022-03-09 22:40:00,11.666666666666668,09-03-2022,Wednesday,0,0
4917,2022-03-10 07:00:00,64.30858333333333,63.12475,73.08177500000001,83.8606,2022-03-09 23:00:00,12.0,09-03-2022,Wednesday,0,0
4918,2022-03-10 07:20:00,67.10633333333334,65.71466666666667,73.33426666666666,85.14309166666668,2022-03-09 23:20:00,12.333333333333332,09-03-2022,Wednesday,0,0
4919,2022-03-10 07:40:00,68.04058333333333,66.76933333333334,73.91115833333333,85.61638333333333,2022-03-09 23:40:00,12.666666666666668,09-03-2022,Wednesday,0,0
