,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,night,weekday,Holiday,downseason
23457,2022-11-22 19:00:00,59.07116666666666,56.82791666666667,63.5203,76.526375,2022-11-22 11:00:00,0.0,22-11-2022,Tuesday,0,0
23458,2022-11-22 19:20:00,59.407,57.19566666666667,63.766999999999996,76.3297,2022-11-22 11:20:00,0.3333333333333339,22-11-2022,Tuesday,0,0
23459,2022-11-22 19:40:00,59.54183333333333,57.42433333333333,63.156525,75.836075,2022-11-22 11:40:00,0.6666666666666661,22-11-2022,Tuesday,0,0
23460,2022-11-22 20:00:00,57.57683333333333,55.509,61.5262,74.29306666666666,2022-11-22 12:00:00,1.0,22-11-2022,Tuesday,0,0
23461,2022-11-22 20:20:00,57.868916666666664,55.54241666666666,61.29810833333333,74.15518333333334,2022-11-22 12:20:00,1.333333333333334,22-11-2022,Tuesday,0,0
23462,2022-11-22 20:40:00,56.845666666666666,54.632583333333336,60.045683333333336,73.008175,2022-11-22 12:40:00,1.666666666666666,22-11-2022,Tuesday,0,0
23463,2022-11-22 21:00:00,58.32300000000001,56.322166666666675,62.123825,74.56806666666667,2022-11-22 13:00:00,2.0,22-11-2022,Tuesday,0,0
23464,2022-11-22 21:20:00,56.94866666666666,54.94875,62.46845,74.55114166666667,2022-11-22 13:20:00,2.333333333333334,22-11-2022,Tuesday,0,0
23465,2022-11-22 21:40:00,58.008833333333335,55.83533333333333,61.85767500000001,74.44973333333333,2022-11-22 13:40:00,2.666666666666666,22-11-2022,Tuesday,0,0
23466,2022-11-22 22:00:00,55.735416666666666,53.653666666666666,60.842175,72.94273333333334,2022-11-22 14:00:00,3.0,22-11-2022,Tuesday,0,0
23467,2022-11-22 22:20:00,58.052083333333336,55.98133333333334,62.170366666666666,74.67119166666666,2022-11-22 14:20:00,3.333333333333334,22-11-2022,Tuesday,0,0
23468,2022-11-22 22:40:00,56.52258333333334,53.99516666666666,59.062324999999994,72.39298333333333,2022-11-22 14:40:00,3.666666666666666,22-11-2022,Tuesday,0,0
23469,2022-11-22 23:00:00,55.068666666666665,52.53441666666667,57.19618333333333,70.68901666666667,2022-11-22 15:00:00,4.0,22-11-2022,Tuesday,0,0
23470,2022-11-22 23:20:00,53.21241666666667,50.56975,56.18315833333333,69.45868333333333,2022-11-22 15:20:00,4.333333333333334,22-11-2022,Tuesday,0,0
23471,2022-11-22 23:40:00,53.771,50.977833333333336,56.010041666666666,69.38040833333334,2022-11-22 15:40:00,4.666666666666666,22-11-2022,Tuesday,0,0
23472,2022-11-23 00:00:00,52.341166666666666,49.58425,55.551033333333336,68.78580000000001,2022-11-22 16:00:00,5.0,22-11-2022,Tuesday,0,0
23473,2022-11-23 00:20:00,51.712916666666665,48.82083333333333,54.254075,67.61315833333333,2022-11-22 16:20:00,5.333333333333332,22-11-2022,Tuesday,0,0
23474,2022-11-23 00:40:00,51.55058333333333,48.57483333333334,54.32514166666667,67.4551,2022-11-22 16:40:00,5.666666666666668,22-11-2022,Tuesday,0,0
23475,2022-11-23 01:00:00,49.79291666666666,46.9945,52.74165,65.83594166666667,2022-11-22 17:00:00,6.0,22-11-2022,Tuesday,0,0
23476,2022-11-23 01:20:00,52.03916666666667,49.174416666666666,54.437975,67.615025,2022-11-22 17:20:00,6.333333333333332,22-11-2022,Tuesday,0,0
23477,2022-11-23 01:40:00,49.78575,46.72441666666667,52.72278333333333,65.851875,2022-11-22 17:40:00,6.666666666666668,22-11-2022,Tuesday,0,0
23478,2022-11-23 02:00:00,47.39183333333333,44.866416666666666,51.55521666666667,64.123075,2022-11-22 18:00:00,7.0,22-11-2022,Tuesday,0,0
23479,2022-11-23 02:20:00,45.62675,42.87733333333333,50.38721666666667,63.18755833333334,2022-11-22 18:20:00,7.333333333333332,22-11-2022,Tuesday,0,0
23480,2022-11-23 02:40:00,48.82241666666667,45.70525,51.86329166666666,65.1247,2022-11-22 18:40:00,7.666666666666668,22-11-2022,Tuesday,0,0
23481,2022-11-23 03:00:00,49.57008333333333,46.22741666666667,53.11306666666667,66.78108333333334,2022-11-22 19:00:00,8.0,22-11-2022,Tuesday,0,0
23482,2022-11-23 03:20:00,48.73933333333333,45.4555,53.36889166666666,66.69823333333333,2022-11-22 19:20:00,8.333333333333332,22-11-2022,Tuesday,0,0
23483,2022-11-23 03:40:00,44.49,41.866083333333336,52.004525,64.39505833333334,2022-11-22 19:40:00,8.666666666666668,22-11-2022,Tuesday,0,0
23484,2022-11-23 04:00:00,46.688833333333335,43.95066666666667,51.65506666666667,64.38159166666667,2022-11-22 20:00:00,9.0,22-11-2022,Tuesday,0,0
23485,2022-11-23 04:20:00,47.190333333333335,44.33808333333333,52.07179166666667,64.72990833333333,2022-11-22 20:20:00,9.333333333333332,22-11-2022,Tuesday,0,0
23486,2022-11-23 04:40:00,42.6925,40.63516666666666,50.635016666666665,62.449066666666674,2022-11-22 20:40:00,9.666666666666668,22-11-2022,Tuesday,0,0
23487,2022-11-23 05:00:00,49.53791666666667,47.1975,56.29374166666667,68.22275,2022-11-22 21:00:00,10.0,22-11-2022,Tuesday,0,0
23488,2022-11-23 05:20:00,46.906083333333335,44.426500000000004,53.79694166666667,66.16857499999999,2022-11-22 21:20:00,10.333333333333332,22-11-2022,Tuesday,0,0
23489,2022-11-23 05:40:00,50.3675,47.85225,56.15675,68.63143333333333,2022-11-22 21:40:00,10.666666666666668,22-11-2022,Tuesday,0,0
23490,2022-11-23 06:00:00,47.164833333333334,45.904666666666664,55.390800000000006,66.987775,2022-11-22 22:00:00,11.0,22-11-2022,Tuesday,0,0
23491,2022-11-23 06:20:00,49.71275,48.43525,57.7715,69.226825,2022-11-22 22:20:00,11.333333333333332,22-11-2022,Tuesday,0,0
23492,2022-11-23 06:40:00,51.26233333333334,49.99458333333333,57.98161666666667,69.67413333333334,2022-11-22 22:40:00,11.666666666666668,22-11-2022,Tuesday,0,0
23493,2022-11-23 07:00:00,51.06583333333333,49.9595,59.10581666666666,70.603375,2022-11-22 23:00:00,12.0,22-11-2022,Tuesday,0,0
