,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,night,weekday,Holiday,downseason
3827,2022-02-23 03:40:00,50.95891666666667,47.64041666666667,52.790400000000005,67.11386666666667,2022-02-22 19:40:00,8.666666666666668,22-02-2022,Tuesday,0,0
3828,2022-02-23 04:00:00,48.1695,44.936083333333336,50.598058333333334,65.49180833333334,2022-02-22 20:00:00,9.0,22-02-2022,Tuesday,0,0
3829,2022-02-23 04:20:00,49.5825,46.3065,51.89593333333334,66.35054166666666,2022-02-22 20:20:00,9.333333333333332,22-02-2022,Tuesday,0,0
3830,2022-02-23 04:40:00,47.09733110925771,43.90191826522102,50.20549624687239,64.93458715596331,2022-02-22 20:40:00,9.666666666666668,22-02-2022,Tuesday,0,0
3831,2022-02-23 05:00:00,46.41366666666667,43.502833333333335,50.549350000000004,64.90111666666667,2022-02-22 21:00:00,10.0,22-02-2022,Tuesday,0,0
3832,2022-02-23 05:20:00,54.78941666666667,51.77675,57.47775,71.01013333333334,2022-02-22 21:20:00,10.333333333333332,22-02-2022,Tuesday,0,0
3833,2022-02-23 05:40:00,54.237614678899085,51.8536280233528,59.44338615512927,72.41904086738948,2022-02-22 21:40:00,10.666666666666668,22-02-2022,Tuesday,0,0
3834,2022-02-23 06:00:00,50.8533721898418,48.52314737718568,56.86235636969192,69.59490424646128,2022-02-22 22:00:00,11.0,22-02-2022,Tuesday,0,0
3835,2022-02-23 06:20:00,62.77,60.802083333333336,69.35328333333334,81.01213333333334,2022-02-22 22:20:00,11.333333333333332,22-02-2022,Tuesday,0,0
3836,2022-02-23 06:40:00,68.88074999999999,67.45541666666666,77.66584166666667,87.99714166666668,2022-02-22 22:40:00,11.666666666666668,22-02-2022,Tuesday,0,0
3837,2022-02-23 07:00:00,63.861666666666665,62.162083333333335,73.45767500000001,83.50754166666667,2022-02-22 23:00:00,12.0,22-02-2022,Tuesday,0,0
3838,2022-02-23 07:20:00,65.43125,63.38525,75.74944166666667,85.57165833333333,2022-02-22 23:20:00,12.333333333333332,22-02-2022,Tuesday,0,0
3839,2022-02-23 07:40:00,60.97566666666667,59.30083333333334,67.868075,79.56683333333334,2022-02-22 23:40:00,12.666666666666668,22-02-2022,Tuesday,0,0
3873,2022-02-23 19:00:00,56.81275,54.92816666666667,63.55672500000001,75.39384166666667,2022-02-23 11:00:00,0.0,23-02-2022,Wednesday,0,0
3874,2022-02-23 19:20:00,56.5615,54.73383333333334,63.61720833333333,75.27609166666666,2022-02-23 11:20:00,0.3333333333333339,23-02-2022,Wednesday,0,0
3875,2022-02-23 19:40:00,57.693083333333334,55.91258333333334,63.378233333333334,75.35783333333333,2022-02-23 11:40:00,0.6666666666666661,23-02-2022,Wednesday,0,0
3876,2022-02-23 20:00:00,57.57941666666667,55.764,64.02611666666667,75.85952499999999,2022-02-23 12:00:00,1.0,23-02-2022,Wednesday,0,0
3877,2022-02-23 20:20:00,57.39041666666667,55.40366666666666,62.91163333333334,75.37160833333333,2022-02-23 12:20:00,1.333333333333334,23-02-2022,Wednesday,0,0
3878,2022-02-23 20:40:00,56.29925000000001,54.27708333333333,61.00818333333334,73.47629166666667,2022-02-23 12:40:00,1.666666666666666,23-02-2022,Wednesday,0,0
3879,2022-02-23 21:00:00,57.75208333333333,55.617333333333335,64.14754166666667,76.16334166666667,2022-02-23 13:00:00,2.0,23-02-2022,Wednesday,0,0
3880,2022-02-23 21:20:00,55.98384937238494,53.65841004184101,62.09835146443515,74.43230962343097,2022-02-23 13:20:00,2.333333333333334,23-02-2022,Wednesday,0,0
3881,2022-02-23 21:40:00,56.43333333333333,54.288333333333334,61.34888333333333,73.60736666666666,2022-02-23 13:40:00,2.666666666666666,23-02-2022,Wednesday,0,0
3882,2022-02-23 22:00:00,56.38133333333334,54.073499999999996,60.45424166666666,72.97893333333333,2022-02-23 14:00:00,3.0,23-02-2022,Wednesday,0,0
3883,2022-02-23 22:20:00,55.92433333333333,53.74325,60.029808333333335,72.587225,2022-02-23 14:20:00,3.333333333333334,23-02-2022,Wednesday,0,0
3884,2022-02-23 22:40:00,55.26925000000001,52.9275,58.87724166666667,71.71764166666667,2022-02-23 14:40:00,3.666666666666666,23-02-2022,Wednesday,0,0
3885,2022-02-23 23:00:00,55.617666666666665,53.068666666666665,58.52218333333333,71.41754166666666,2022-02-23 15:00:00,4.0,23-02-2022,Wednesday,0,0
3886,2022-02-23 23:20:00,56.14308333333333,53.59875,58.67798333333334,71.42674166666666,2022-02-23 15:20:00,4.333333333333334,23-02-2022,Wednesday,0,0
3887,2022-02-23 23:40:00,54.80083333333334,52.03616666666667,56.42825833333334,70.051175,2022-02-23 15:40:00,4.666666666666666,23-02-2022,Wednesday,0,0
3888,2022-02-24 00:00:00,59.080916666666674,56.416666666666664,59.89103333333334,73.19605833333334,2022-02-23 16:00:00,5.0,23-02-2022,Wednesday,0,0
3889,2022-02-24 00:20:00,53.97141666666666,51.269000000000005,55.56509166666667,69.0542,2022-02-23 16:20:00,5.333333333333332,23-02-2022,Wednesday,0,0
3890,2022-02-24 00:40:00,58.145333333333326,55.23741666666666,58.65915,72.29005833333333,2022-02-23 16:40:00,5.666666666666668,23-02-2022,Wednesday,0,0
3891,2022-02-24 01:00:00,57.299,53.958666666666666,57.56174166666666,71.52083333333333,2022-02-23 17:00:00,6.0,23-02-2022,Wednesday,0,0
3892,2022-02-24 01:20:00,60.48216666666667,56.75449999999999,60.50517500000001,74.49523333333333,2022-02-23 17:20:00,6.333333333333332,23-02-2022,Wednesday,0,0
3893,2022-02-24 01:40:00,56.42458333333333,53.18025,56.803650000000005,70.87555833333333,2022-02-23 17:40:00,6.666666666666668,23-02-2022,Wednesday,0,0
3894,2022-02-24 02:00:00,51.35025,47.987750000000005,53.097049999999996,67.53195833333334,2022-02-23 18:00:00,7.0,23-02-2022,Wednesday,0,0
