,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,night,weekday,Holiday,downseason
0,2022-01-01 00:00:00,65.68626144879266,61.762031640299746,65.97338884263114,80.86931723563697,2021-12-31 16:00:00,5.0,31-12-2021,Friday,0,1
1,2022-01-01 00:20:00,59.77581317764804,56.6883236030025,62.298865721434524,75.31496246872393,2021-12-31 16:20:00,5.333333333333332,31-12-2021,Friday,0,1
2,2022-01-01 00:40:00,55.50058333333333,52.925916666666666,61.03863333333334,73.59903333333332,2021-12-31 16:40:00,5.666666666666668,31-12-2021,Friday,0,1
3,2022-01-01 01:00:00,55.23383333333334,52.77891666666667,60.75834166666666,73.18733333333334,2021-12-31 17:00:00,6.0,31-12-2021,Friday,0,1
4,2022-01-01 01:20:00,53.254454621149044,51.183513738551206,58.17018318068276,70.6277518734388,2021-12-31 17:20:00,6.333333333333332,31-12-2021,Friday,0,1
5,2022-01-01 01:40:00,50.610258548790654,48.596830692243536,57.01687239366138,69.23635529608006,2021-12-31 17:40:00,6.666666666666668,31-12-2021,Friday,0,1
6,2022-01-01 02:00:00,52.682916666666664,50.500166666666665,58.61784166666667,70.85875,2021-12-31 18:00:00,7.0,31-12-2021,Friday,0,1
7,2022-01-01 02:20:00,51.43525,49.39191666666667,57.593116666666674,69.93606666666666,2021-12-31 18:20:00,7.333333333333332,31-12-2021,Friday,0,1
8,2022-01-01 02:40:00,52.402747710241464,50.257452123230635,58.636644462947544,71.12642797668609,2021-12-31 18:40:00,7.666666666666668,31-12-2021,Friday,0,1
9,2022-01-01 03:00:00,51.2673894912427,49.361551292743954,58.59923269391159,70.51173477898249,2021-12-31 19:00:00,8.0,31-12-2021,Friday,0,1
10,2022-01-01 03:20:00,50.97716666666667,49.18516666666667,57.89879166666667,69.71599166666667,2021-12-31 19:20:00,8.333333333333332,31-12-2021,Friday,0,1
11,2022-01-01 03:40:00,50.21975,48.348333333333336,56.88388333333334,68.86771666666667,2021-12-31 19:40:00,8.666666666666668,31-12-2021,Friday,0,1
12,2022-01-01 04:00:00,49.468583333333335,47.60491666666667,56.24175,68.39065833333333,2021-12-31 20:00:00,9.0,31-12-2021,Friday,0,1
13,2022-01-01 04:20:00,48.714666666666666,46.9085,55.75020833333333,67.85573333333333,2021-12-31 20:20:00,9.333333333333332,31-12-2021,Friday,0,1
14,2022-01-01 04:40:00,49.22123230641132,47.344213155703585,55.91180682764363,67.96432972522898,2021-12-31 20:40:00,9.666666666666668,31-12-2021,Friday,0,1
15,2022-01-01 05:00:00,50.105921601334444,48.07239366138449,56.2036530442035,68.32291909924938,2021-12-31 21:00:00,10.0,31-12-2021,Friday,0,1
16,2022-01-01 05:20:00,50.12075,48.030166666666666,56.50821666666667,68.53703333333334,2021-12-31 21:20:00,10.333333333333332,31-12-2021,Friday,0,1
17,2022-01-01 05:40:00,48.11691666666667,46.51383333333333,56.153058333333334,67.81838333333333,2021-12-31 21:40:00,10.666666666666668,31-12-2021,Friday,0,1
